I-16-2,,I-16-3,,I-16-1,,PES0.45-1(5),,PES0.45-2(5),,PES0.45-3(5),,PVDF0.2-1(3),,PVDF0.2-2(3),,PVDF0.2-3(3),,PVDF0.45-1(4),,PVDF0.45-2(4),,PVDF0.45-3(4),,PVDF5-1(6),,PVDF5-2(6),,PVDF5-3(6),,PW-1,,PW-2,,PW-3,,Sartorius_CelluloseNitrate0.45-1(2),,Sartorius_CelluloseNitrate0.45-2(2),,Sartorius_CelluloseNitrate0.45-3(2),,Sartorius_CelluloseNitrate5-1(1),,Sartorius_CelluloseNitrate5-2(1),,Sartorius_CelluloseNitrate5-3(1),
V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA,V,µA
-0.710198,-149.036,-0.710198,-111.731,-0.710198,-156.673,-0.710198,-289.56,-0.710198,-292.85,-0.710198,-402.094,-0.710198,-211.55,-0.710198,-386.74,-0.710198,-342.633,-0.710198,-204.826,-0.710198,-313.593,-0.710198,-272.728,-0.710198,-38.3831,-0.710198,-21.8035,-0.710198,-97.3777,-0.710198,-178.075,-0.710198,-121.468,-0.710198,-95.4608,-0.710198,-245.214,-0.710198,-399.853,-0.710198,-393.702,-0.710198,-57.3852,-0.710198,-1.31845,-0.710198,-64.9002
-0.700198,-128.644,-0.700198,-92.9621,-0.700198,-142.038,-0.700198,-261.808,-0.700198,-262.381,-0.700198,-366.665,-0.700198,-193.859,-0.700198,-348.45,-0.700198,-308.968,-0.700198,-179.983,-0.700198,-283.695,-0.700198,-244.547,-0.700198,-26.9485,-0.700198,-11.6706,-0.700198,-81.1985,-0.700198,-160.575,-0.700198,-109.189,-0.700198,-78.161,-0.700198,-217.224,-0.700198,-364.138,-0.700198,-356.032,-0.700198,-45.3069,-0.700198,7.00717,-0.700198,-49.4554
-0.690198,-109.852,-0.690198,-75.5909,-0.690198,-128.687,-0.690198,-234.629,-0.690198,-234.533,-0.690198,-331.952,-0.690198,-177.217,-0.690198,-312.544,-0.690198,-277.02,-0.690198,-156.713,-0.690198,-254.894,-0.690198,-218.082,-0.690198,-16.83,-0.690198,-2.15769,-0.690198,-66.2687,-0.690198,-142.377,-0.690198,-97.6781,-0.690198,-61.424,-0.690198,-191.093,-0.690198,-330.378,-0.690198,-320.794,-0.690198,-34.2823,-0.690198,14.8321,-0.690198,-35.608
-0.680198,-93.1815,-0.680198,-59.4642,-0.680198,-115.579,-0.680198,-211.073,-0.680198,-207.687,-0.680198,-299.574,-0.680198,-161.808,-0.680198,-279.118,-0.680198,-247.36,-0.680198,-135.16,-0.680198,-227.858,-0.680198,-192.953,-0.680198,-7.64613,-0.680198,6.75445,-0.680198,-52.6692,-0.680198,-124.176,-0.680198,-86.8538,-0.680198,-46.6706,-0.680198,-167.585,-0.680198,-298.286,-0.680198,-287.271,-0.680198,-24.3402,-0.680198,22.3173,-0.680198,-22.9574
-0.670197,-77.4553,-0.670197,-45.3307,-0.670197,-103.491,-0.670197,-187.565,-0.670197,-183.75,-0.670197,-269.581,-0.670197,-146.549,-0.670197,-247.694,-0.670197,-219.179,-0.670197,-115.741,-0.670197,-202.585,-0.670197,-169.302,-0.670197,0.755787,-0.670197,14.4983,-0.670197,-39.9901,-0.670197,-111.106,-0.670197,-76.5779,-0.670197,-33.3907,-0.670197,-145.269,-0.670197,-268.723,-0.670197,-255.61,-0.670197,-15.8906,-0.670197,28.7818,-0.670197,-11.313
-0.660198,-63.6508,-0.660198,-32.0603,-0.660198,-92.0943,-0.660198,-166.727,-0.660198,-161.291,-0.660198,-240.732,-0.660198,-132.444,-0.660198,-218.941,-0.660198,-193.239,-0.660198,-97.9833,-0.660198,-178.934,-0.660198,-147.653,-0.660198,7.66044,-0.660198,21.8647,-0.660198,-28.7271,-0.660198,-96.4574,-0.660198,-67.456,-0.660198,-21.0262,-0.660198,-125.077,-0.660198,-240.589,-0.660198,-226.57,-0.660198,-7.99899,-0.660198,35.2758,-0.660198,-1.41382
-0.650198,-50.4615,-0.650198,-19.9867,-0.650198,-81.1699,-0.650198,-146.461,-0.650198,-140.167,-0.650198,-213.791,-0.650198,-119.288,-0.650198,-191.618,-0.650198,-168.491,-0.650198,-81.8661,-0.650198,-157.19,-0.650198,-126.698,-0.650198,14.6175,-0.650198,28.9,-0.650198,-17.8314,-0.650198,-83.9833,-0.650198,-58.315,-0.650198,-10.7027,-0.650198,-106.509,-0.650198,-214.22,-0.650198,-199.152,-0.650198,-0.9799,-0.650198,41.5715,-0.650198,8.2994
-0.640198,-38.4594,-0.640198,-8.92882,-0.640198,-71.5712,-0.640198,-127.495,-0.640198,-120.705,-0.640198,-188.328,-0.640198,-106.609,-0.640198,-166.44,-0.640198,-145.46,-0.640198,-66.9124,-0.640198,-136.447,-0.640198,-107.639,-0.640198,20.7351,-0.640198,35.4465,-0.640198,-7.89886,-0.640198,-72.4104,-0.640198,-50.0562,-0.640198,-0.407696,-0.640198,-89.5194,-0.640198,-189.615,-0.640198,-173.879,-0.640198,5.58138,-0.640198,47.3775,-0.640198,16.8205
-0.630198,-28.1025,-0.630198,1.21832,-0.630198,-62.0964,-0.630198,-110.691,-0.630198,-102.885,-0.630198,-164.247,-0.630198,-95.0793,-0.630198,-143.457,-0.630198,-124.219,-0.630198,-53.2605,-0.630198,-117.367,-0.630198,-89.9437,-0.630198,26.4052,-0.630198,41.7384,-0.630198,0.884533,-0.630198,-61.1236,-0.630198,-42.4744,-0.630198,8.70948,-0.630198,-74.4703,-0.630198,-166.631,-0.630198,-150.037,-0.630198,11.6675,-0.630198,53.2961,-0.630198,24.7601
-0.620197,-18.3511,-0.620197,9.8062,-0.620197,-53.6849,-0.620197,-94.55,-0.620197,-86.8681,-0.620197,-142.313,-0.620197,-83.8212,-0.620197,-122.169,-0.620197,-104.473,-0.620197,-41.2728,-0.620197,-100.139,-0.620197,-73.5882,-0.620197,31.7825,-0.620197,47.2502,-0.620197,9.19108,-0.620197,-52.1543,-0.620197,-35.2313,-0.620197,16.8968,-0.620197,-60.3941,-0.620197,-145.984,-0.620197,-128.055,-0.620197,16.8665,-0.620197,58.1338,-0.620197,32.1897
